0	3D MAZE	Sinclair%20ZX81%20%5BTOSEC%5D%2FSinclair%20ZX81%20-%20Games%20-%20%5BP%5D%20%28TOSEC-v2011-09-24_CM%29%2F3D%20Maze%20%2819xx%29%28-%29.zip
0	3D MAZE	Sinclair%20ZX81%20%5BTOSEC%5D%2FSinclair%20ZX81%20-%20Games%20-%20%5BP%5D%20%28TOSEC-v2011-09-24_CM%29%2F3D%20Maze%20%2819xx%29%28-%29%5Ba%5D.zip
0	3D MONSTER LABYRINTH	Sinclair%20ZX81%20%5BTOSEC%5D%2FSinclair%20ZX81%20-%20Games%20-%20%5BP%5D%20%28TOSEC-v2011-09-24_CM%29%2F3D%20Monster%20Labyrinth%20%2819xx%29%28-%29%28de%29.zip
0	3D MONSTER MAZE	Sinclair%20ZX81%20%5BTOSEC%5D%2FSinclair%20ZX81%20-%20Games%20-%20%5BP%5D%20%28TOSEC-v2011-09-24_CM%29%2F3D%20Monster%20Maze%20%2819xx%29%28J.K.%20Greye%20Software%29.zip
0	3D MONSTER MAZE	Sinclair%20ZX81%20%5BTOSEC%5D%2FSinclair%20ZX81%20-%20Games%20-%20%5BP%5D%20%28TOSEC-v2011-09-24_CM%29%2F3D%20Monster%20Maze%20%2819xx%29%28J.K.%20Greye%20Software%29%5Ba%5D.zip
0	3D MOVER	Sinclair%20ZX81%20%5BTOSEC%5D%2FSinclair%20ZX81%20-%20Games%20-%20%5BP%5D%20%28TOSEC-v2011-09-24_CM%29%2F3D-Mover%20%2819xx%29%28-%29.zip
0	3D NETWERK	Sinclair%20ZX81%20%5BTOSEC%5D%2FSinclair%20ZX81%20-%20Games%20-%20%5BP%5D%20%28TOSEC-v2011-09-24_CM%29%2F3D%20Netwerk%20%2819xx%29%28-%29.zip
0	3D NOUGHT AND CROSSES	Sinclair%20ZX81%20%5BTOSEC%5D%2FSinclair%20ZX81%20-%20Games%20-%20%5BP%5D%20%28TOSEC-v2011-09-24_CM%29%2F3D%20Nought%20and%20Crosses%20%2819xx%29%28-%29.zip
0	3D OXO	Sinclair%20ZX81%20%5BTOSEC%5D%2FSinclair%20ZX81%20-%20Games%20-%20%5BP%5D%20%28TOSEC-v2011-09-24_CM%29%2F3D%20Oxo%20%281984%29%28A.J.%20Heathcote%29.zip
0	3D ROTATIE	Sinclair%20ZX81%20%5BTOSEC%5D%2FSinclair%20ZX81%20-%20Games%20-%20%5BP%5D%20%28TOSEC-v2011-09-24_CM%29%2F3D%20Rotatie%20%2819xx%29%28Frank%20Moquette%29%28nl%29.zip
0	3D TIC TAC TOE	Sinclair%20ZX81%20%5BTOSEC%5D%2FSinclair%20ZX81%20-%20Games%20-%20%5BP%5D%20%28TOSEC-v2011-09-24_CM%29%2F3D%20Tic-Tac-Toe%20%2819xx%29%28-%29.zip
0	3D TIC TAC TOE	Sinclair%20ZX81%20%5BTOSEC%5D%2FSinclair%20ZX81%20-%20Games%20-%20%5BP%5D%20%28TOSEC-v2011-09-24_CM%29%2F3D%20Tic-Tac-Toe%20%2819xx%29%28-%29%5Ba%5D.zip
0	4472 FLYING SCOTSMAN	Sinclair%20ZX81%20%5BTOSEC%5D%2FSinclair%20ZX81%20-%20Games%20-%20%5BP%5D%20%28TOSEC-v2011-09-24_CM%29%2F4472%20Flying%20Scotsman%20%2819xx%29%28-%29%28nl%29.zip
0	4472 FLYING SCOTSMAN	Sinclair%20ZX81%20%5BTOSEC%5D%2FSinclair%20ZX81%20-%20Games%20-%20%5BP%5D%20%28TOSEC-v2011-09-24_CM%29%2F4472%20Flying%20Scotsman%20%2819xx%29%28-%29.zip
